YEAR/MONTH,TOTAL TRADE,TOTAL TRADE,EXPORT,EXPORT,IMPORT,IMPORT,SURPLUS/DEFICIT,SURPLUS/DEFICIT
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2022,"192,010,782",29.076,"63,160,020",-7.258,"128,850,762",59.754,"-65,690,742",423.326
2023,"188,047,122",-2.064,"71,044,136",12.483,"117,002,986",-9.195,"-45,958,850",-30.038
2024,"102,498,109",-45.493,"66,880,603",-5.860,"35,617,506",-69.558,"31,263,097",---
202301,"12,354,354",-15.350,"3,948,328",-26.523,"8,406,026",-8.838,"-4,457,698",15.861
202302,"22,385,837",76.598,"4,398,553",36.978,"17,987,284",90.039,"-13,588,731",117.284
202303,"19,491,581",16.470,"5,256,420",0.022,"14,235,161",23.999,"-8,978,741",44.242
202304,"11,180,110",-10.204,"4,456,982",12.206,"6,723,128",-20.703,"-2,266,146",-49.711
202305,"17,590,527",34.925,"6,549,869",29.527,"11,040,658",38.345,"-4,490,789",53.596
202306,"12,323,536",-9.297,"6,768,914",31.504,"5,554,622",-34.182,"1,214,292",---
202307,"9,629,218",-35.855,"4,876,807",-35.622,"4,752,411",-36.092,"124,396",-10.500
202308,"11,700,650",-36.095,"6,444,562",20.277,"5,256,088",-59.416,"1,188,474",---
202309,"16,225,509",-13.145,"6,363,923",15.354,"9,861,586",-25.088,"-3,497,663",-54.263
202310,"22,699,117",-3.011,"7,611,277",-5.769,"15,087,840",-1.558,"-7,476,563",3.134
202311,"14,648,029",0.026,"6,026,042",61.394,"8,621,987",-20.976,"-2,595,945",-63.829
202312,"17,818,654",-5.622,"8,342,459",70.860,"9,476,195",-32.301,"-1,133,736",-87.562
202401,"8,433,592",-31.736,"5,694,409",44.223,"2,739,183",-67.414,"2,955,226",---
202402,"10,098,780",-54.888,"7,763,968",76.512,"2,334,812",-87.020,"5,429,156",---
202403,"9,677,499",-50.350,"5,023,724",-4.427,"4,653,775",-67.308,"369,949",---
202404,"7,833,370",-29.935,"3,601,298",-19.199,"4,232,072",-37.052,"-630,774",-72.165
202405,"8,608,938",-51.059,"5,647,732",-13.773,"2,961,206",-73.179,"2,686,526",---
202406,"10,002,460",-18.834,"7,500,111",10.802,"2,502,349",-54.950,"4,997,762",311.578
202407,"8,407,991",-12.683,"6,321,637",29.627,"2,086,354",-56.099,"4,235,283","3,304.678"
202408,"7,315,852",-37.475,"4,889,759",-24.126,"2,426,093",-53.842,"2,463,666",107.297
202409,"9,548,993",-41.148,"7,347,509",15.456,"2,201,484",-77.676,"5,146,025",---
202410,"5,528,186",-75.646,"3,309,983",-56.512,"2,218,203",-85.298,"1,091,780",---
202411,"8,092,082",-44.757,"3,950,173",-34.448,"4,141,909",-51.961,"-191,736",-92.614
202412,"8,950,366",-49.770,"5,830,300",-30.113,"3,120,066",-67.075,"2,710,234",---
