"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Bangladesh,,,,,PRINT TIME:2026/02/08 12:36:50,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"1,005,178,057",1.792,"920,040,381",2.170,"85,137,676",-2.126,"834,902,705",2.630
2017,"1,079,386,840",7.383,"995,315,429",8.182,"84,071,411",-1.252,"911,244,018",9.144
2018,"1,230,318,784",13.983,"1,140,972,489",14.634,"89,346,295",6.274,"1,051,626,194",15.406
2019,"1,264,290,233",2.761,"1,167,779,958",2.350,"96,510,275",8.018,"1,071,269,683",1.868
2020,"939,594,138",-25.682,"842,787,030",-27.830,"96,807,108",0.308,"745,979,922",-30.365
2021,"1,334,233,340",42.001,"1,220,718,488",44.843,"113,514,852",17.259,"1,107,203,636",48.423
2022,"1,915,397,800",43.558,"1,794,116,682",46.972,"121,281,118",6.842,"1,672,835,564",51.087
2023,"1,068,619,744",-44.209,"958,000,417",-46.603,"110,619,327",-8.791,"847,381,090",-49.345
2024,"1,183,805,329",10.779,"1,067,077,694",11.386,"116,727,635",5.522,"950,350,059",12.151
2025,"1,087,147,417",-8.165,"980,365,441",-8.126,"106,781,976",-8.520,"873,583,465",-8.078
***Expand by month***,,,,,,,,
202401,"90,940,495",-20.405,"78,007,741",-25.645,"12,932,754",38.444,"65,074,987",-31.909
202402,"76,808,333",-22.744,"68,830,352",-25.076,"7,977,981",5.629,"60,852,371",-27.827
202403,"119,484,026",43.027,"109,959,438",52.551,"9,524,588",-16.883,"100,434,850",65.676
202404,"95,107,621",1.405,"86,068,651",1.903,"9,038,970",-3.103,"77,029,681",2.524
202405,"76,356,800",3.199,"64,500,882",-0.312,"11,855,918",27.662,"52,644,964",-5.000
202406,"121,141,123",71.852,"112,632,083",80.318,"8,509,040",5.988,"104,123,043",91.280
202407,"78,223,757",-32.167,"67,221,249",-36.167,"11,002,508",9.911,"56,218,741",-41.007
202408,"90,999,943",40.442,"82,625,814",51.691,"8,374,129",-18.899,"74,251,685",68.203
202409,"64,586,867",-41.009,"54,085,718",-46.540,"10,501,149",26.291,"43,584,569",-53.062
202410,"114,061,332",17.836,"105,954,441",19.497,"8,106,891",-0.283,"97,847,550",21.494
202411,"111,035,641",33.144,"102,718,538",40.466,"8,317,103",-19.001,"94,401,435",50.180
202412,"145,059,391",129.003,"134,472,787",145.519,"10,586,604",23.488,"123,886,183",168.164
202501,"92,307,078",1.503,"84,659,778",8.527,"7,647,300",-40.869,"77,012,478",18.344
202502,"95,863,366",24.809,"86,357,219",25.464,"9,506,147",19.155,"76,851,072",26.291
202503,"74,283,081",-37.830,"63,444,555",-42.302,"10,838,526",13.795,"52,606,029",-47.622
202504,"105,945,695",11.396,"99,018,983",15.047,"6,926,712",-23.368,"92,092,271",19.554
202505,"86,329,534",13.061,"79,681,658",23.536,"6,647,876",-43.928,"73,033,782",38.729
202506,"92,517,530",-23.628,"83,751,578",-25.641,"8,765,952",3.019,"74,985,626",-27.984
202507,"110,499,254",41.260,"101,321,020",50.728,"9,178,234",-16.581,"92,142,786",63.900
202508,"90,461,055",-0.592,"79,762,310",-3.466,"10,698,745",27.759,"69,063,565",-6.987
202509,"114,374,656",77.087,"103,127,209",90.674,"11,247,447",7.107,"91,879,762",110.808
202510,"63,094,277",-44.684,"56,474,558",-46.699,"6,619,719",-18.345,"49,854,839",-49.048
202511,"70,609,125",-36.409,"62,292,223",-39.356,"8,316,902",-0.002,"53,975,321",-42.824
202512,"90,862,766",-37.362,"80,474,350",-40.156,"10,388,416",-1.872,"70,085,934",-43.427
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
