"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Bhutan,,,,,PRINT TIME:2026/02/08 12:34:46,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"237,787",22.541,"208,314",33.277,"29,473",-21.918,"178,841",50.851
2017,"153,792",-35.324,"135,052",-35.169,"18,740",-36.416,"116,312",-34.963
2018,"911,380",492.606,"884,166",554.686,"27,214",45.219,"856,952",636.770
2019,"130,540",-85.677,"88,890",-89.946,"41,650",53.046,"47,240",-94.487
2020,"124,299",-4.781,"117,341",32.007,"6,958",-83.294,"110,383",133.664
2021,"113,960",-8.318,"106,028",-9.641,"7,932",13.998,"98,096",-11.131
2022,"25,766",-77.390,"9,705",-90.847,"16,061",102.484,"-6,356",---
2023,"25,836",0.272,"21,643",123.009,"4,193",-73.893,"17,450",---
2024,"61,521",138.121,"46,429",114.522,"15,092",259.933,"31,337",79.582
2025,"143,025",132.482,"96,897",108.699,"46,128",205.645,"50,769",62.010
***Expand by month***,,,,,,,,
202401,835,16.134,835,---,---,---,835,---
202402,"10,922","47,386.957","10,903",---,19,-17.391,"10,884",---
202403,"1,615",-83.093,760,-91.613,855,74.490,-95,---
202404,"3,302","1,155.513","3,302",---,---,---,"3,302",---
202405,"15,053",76.969,"11,968",42.833,"3,085","2,329.134","8,883",7.647
202406,"3,032",448.282,"2,815","1,626.994",217,-44.359,"2,598",---
202407,"9,138",---,"9,138",---,---,---,"9,138",---
202408,113,-82.982,92,-86.145,21,---,71,-89.307
202409,509,-73.379,509,-73.379,---,---,509,-73.379
202410,"15,130","8,747.953","4,814",---,"10,316","5,932.749","-5,502","3,117.544"
202411,25,-96.494,---,---,25,-96.494,-25,-96.494
202412,"1,847",-33.080,"1,293",-11.620,554,-57.286,739,345.181
202501,"8,452",912.216,---,---,"8,452",---,"-8,452",---
202502,61,-99.441,---,---,61,221.053,-61,---
202503,"5,662",250.588,305,-59.868,"5,357",526.550,"-5,052","5,217.895"
202504,"5,078",53.786,"4,591",39.037,487,---,"4,104",24.288
202505,"20,068",33.316,"20,068",67.680,---,---,"20,068",125.915
202506,"65,774","2,069.327","65,372","2,222.274",402,85.253,"64,970","2,400.770"
202507,514,-94.375,---,---,514,---,-514,---
202508,"6,164","5,354.867","5,775","6,177.174",389,"1,752.381","5,386","7,485.915"
202509,"15,658","2,976.228",592,16.306,"15,066",---,"-14,474",---
202510,"13,719",-9.326,---,---,"13,719",32.988,"-13,719",149.346
202511,194,676.000,194,---,---,---,194,---
202512,"1,681",-8.988,---,---,"1,681",203.430,"-1,681",---
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
