"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Brunei Darussalam,,,,,PRINT TIME:2026/02/08 12:23:57,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"134,081,894",-64.013,"13,713,494",-42.457,"120,368,400",-65.486,"-106,654,906",-67.175
2017,"235,457,241",75.607,"12,000,913",-12.488,"223,456,328",85.644,"-211,455,415",98.261
2018,"401,325,171",70.445,"12,873,117",7.268,"388,452,054",73.838,"-375,578,937",77.616
2019,"168,330,529",-58.056,"11,895,785",-7.592,"156,434,744",-59.729,"-144,538,959",-61.516
2020,"213,696,832",26.951,"57,683,231",384.905,"156,013,601",-0.269,"-98,330,370",-31.970
2021,"173,153,482",-18.972,"24,378,411",-57.737,"148,775,071",-4.640,"-124,396,660",26.509
2022,"51,065,189",-70.509,"28,969,840",18.834,"22,095,349",-85.148,"6,874,491",---
2023,"290,855,812",469.577,"12,737,715",-56.031,"278,118,097","1,158.718","-265,380,382",---
2024,"353,837,408",21.654,"14,450,920",13.450,"339,386,488",22.030,"-324,935,568",22.441
2025,"455,096,851",28.618,"14,729,283",1.926,"440,367,568",29.754,"-425,638,285",30.992
***Expand by month***,,,,,,,,
202401,"59,666,770",7.508,"1,061,340",20.096,"58,605,430",7.304,"-57,544,090",7.094
202402,"1,605,332",-16.143,"803,325",-47.084,"802,007",102.396,"1,318",-99.883
202403,"3,483,547",62.732,"889,103",13.481,"2,594,444",91.164,"-1,705,341",197.255
202404,"2,383,246",-95.041,"959,635",-33.551,"1,423,611",-96.946,"-463,976",-98.973
202405,"85,649,989","2,668.650","986,021",8.885,"84,663,968","3,769.467","-83,677,947","6,424.917"
202406,"1,418,918",17.221,"791,351",16.248,"627,567",18.473,"163,784",8.443
202407,"2,509,429",-57.639,"871,491",-20.781,"1,637,938",-66.045,"-766,447",-79.417
202408,"5,880,474",-85.620,"4,116,960",399.510,"1,763,514",-95.599,"2,353,446",---
202409,"2,259,076",-26.929,"1,115,652",15.416,"1,143,424",-46.191,"-27,772",-97.602
202410,"91,944,852","2,559.381","655,327",21.465,"91,289,525","3,028.650","-90,634,198","3,710.824"
202411,"3,271,800",-38.672,"946,472",-28.671,"2,325,328",-41.982,"-1,378,856",-48.570
202412,"93,763,975",-22.020,"1,254,243",-28.919,"92,509,732",-21.917,"-91,255,489",-21.812
202501,"51,164,287",-14.250,"624,792",-41.132,"50,539,495",-13.763,"-49,914,703",-13.258
202502,"6,096,603",279.772,"1,145,519",42.597,"4,951,084",517.337,"-3,805,565",---
202503,"2,202,414",-36.777,"2,202,284",147.697,130,-99.995,"2,202,154",---
202504,"47,993,510","1,913.787","950,974",-0.903,"47,042,536","3,204.452","-46,091,562","9,834.040"
202505,"31,154,263",-63.626,"753,322",-23.600,"30,400,941",-64.092,"-29,647,619",-64.569
202506,"44,780,815","3,055.983","1,311,024",65.669,"43,469,791","6,826.717","-42,158,767",---
202507,"3,704,263",47.614,"681,276",-21.826,"3,022,987",84.561,"-2,341,711",205.528
202508,"93,838,085","1,495.757","1,167,971",-71.630,"92,670,114","5,154.856","-91,502,143",---
202509,"83,321,982","3,588.321","907,738",-18.636,"82,414,244","7,107.671","-81,506,506","293,384.466"
202510,"37,674,938",-59.024,"835,626",27.513,"36,839,312",-59.646,"-36,003,686",-60.276
202511,"45,923,480","1,303.615","949,353",0.304,"44,974,127","1,834.098","-44,024,774","3,092.848"
202512,"7,242,211",-92.276,"3,199,404",155.086,"4,042,807",-95.630,"-843,403",-99.076
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
