"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Cambodia,,,,,PRINT TIME:2026/02/08 12:35:50,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"728,516,726",-2.141,"650,559,816",-4.051,"77,956,910",17.351,"572,602,906",-6.376
2017,"727,391,040",-0.155,"649,793,847",-0.118,"77,597,193",-0.461,"572,196,654",-0.071
2018,"794,932,836",9.285,"700,597,373",7.818,"94,335,463",21.571,"606,261,910",5.953
2019,"826,358,916",3.953,"719,308,239",2.671,"107,050,677",13.479,"612,257,562",0.989
2020,"788,210,676",-4.616,"670,095,568",-6.842,"118,115,108",10.336,"551,980,460",-9.845
2021,"976,090,471",23.836,"857,077,915",27.904,"119,012,556",0.760,"738,065,359",33.712
2022,"1,031,115,769",5.637,"868,408,302",1.322,"162,707,467",36.715,"705,700,835",-4.385
2023,"730,743,868",-29.131,"563,119,971",-35.155,"167,623,897",3.022,"395,496,074",-43.957
2024,"724,520,830",-0.852,"550,868,465",-2.176,"173,652,365",3.596,"377,216,100",-4.622
2025,"739,413,449",2.056,"567,325,922",2.988,"172,087,527",-0.901,"395,238,395",4.778
***Expand by month***,,,,,,,,
202401,"64,553,615",-4.697,"45,361,121",-16.399,"19,192,494",42.416,"26,168,627",-35.834
202402,"56,174,019",-9.667,"42,563,349",-14.838,"13,610,670",11.501,"28,952,679",-23.349
202403,"71,278,349",2.308,"55,746,193",-4.535,"15,532,156",37.745,"40,214,037",-14.653
202404,"59,233,205",-12.403,"48,510,690",-10.646,"10,722,515",-19.560,"37,788,175",-7.744
202405,"56,307,240",-3.232,"45,115,779",3.700,"11,191,461",-23.774,"33,924,318",17.694
202406,"64,410,929",14.787,"48,895,686",14.968,"15,515,243",14.217,"33,380,443",15.321
202407,"52,336,701",-9.637,"35,665,877",-13.133,"16,670,824",-1.123,"18,995,053",-21.500
202408,"73,990,038",16.592,"59,157,360",21.258,"14,832,678",1.078,"44,324,682",29.939
202409,"58,598,613",2.394,"44,116,991",-0.171,"14,481,622",11.090,"29,635,369",-4.883
202410,"51,094,862",-0.192,"35,888,101",-10.092,"15,206,761",34.854,"20,681,340",-27.789
202411,"55,013,507",-5.830,"42,326,449",-1.496,"12,687,058",-17.884,"29,639,391",7.705
202412,"61,529,752",0.851,"47,520,869",9.903,"14,008,883",-21.173,"33,511,986",31.589
202501,"61,016,511",-5.479,"45,883,345",1.151,"15,133,166",-21.151,"30,750,179",17.508
202502,"55,447,307",-1.294,"40,881,957",-3.950,"14,565,350",7.014,"26,316,607",-9.105
202503,"72,328,951",1.474,"56,516,097",1.381,"15,812,854",1.807,"40,703,243",1.217
202504,"46,766,701",-21.046,"37,300,021",-23.110,"9,466,680",-11.712,"27,833,341",-26.344
202505,"63,432,764",12.655,"51,706,991",14.610,"11,725,773",4.774,"39,981,218",17.854
202506,"57,469,925",-10.776,"43,018,224",-12.020,"14,451,701",-6.855,"28,566,523",-14.421
202507,"65,360,310",24.884,"48,438,060",35.811,"16,922,250",1.508,"31,515,810",65.916
202508,"64,151,335",-13.297,"46,792,937",-20.901,"17,358,398",17.028,"29,434,539",-33.593
202509,"64,969,836",10.873,"50,443,491",14.340,"14,526,345",0.309,"35,917,146",21.197
202510,"58,911,087",15.297,"47,307,820",31.820,"11,603,267",-23.697,"35,704,553",72.641
202511,"56,944,842",3.511,"41,569,303",-1.789,"15,375,539",21.191,"26,193,764",-11.625
202512,"72,613,880",18.014,"57,467,676",20.931,"15,146,204",8.119,"42,321,472",26.288
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
