"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): India,,,,,PRINT TIME:2026/02/08 12:46:47,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"5,006,124,187",4.048,"2,819,306,684",-3.892,"2,186,817,503",16.452,"632,489,181",-40.082
2017,"6,337,595,222",26.597,"3,281,493,862",16.394,"3,056,101,360",39.751,"225,392,502",-64.364
2018,"7,030,475,476",10.933,"3,771,270,625",14.925,"3,259,204,851",6.646,"512,065,774",127.188
2019,"5,797,407,620",-17.539,"3,281,963,176",-12.975,"2,515,444,444",-22.820,"766,518,732",49.691
2020,"4,795,557,097",-17.281,"2,595,191,940",-20.926,"2,200,365,157",-12.526,"394,826,783",-48.491
2021,"7,701,208,260",60.590,"4,522,648,935",74.270,"3,178,559,325",44.456,"1,344,089,610",240.425
2022,"8,460,547,342",9.860,"5,318,661,560",17.601,"3,141,885,782",-1.154,"2,176,775,778",61.952
2023,"8,222,301,210",-2.816,"6,010,207,389",13.002,"2,212,093,821",-29.593,"3,798,113,568",74.483
2024,"10,609,832,000",29.037,"7,891,486,317",31.301,"2,718,345,683",22.886,"5,173,140,634",36.203
2025,"12,514,308,351",17.950,"9,212,542,438",16.740,"3,301,765,913",21.462,"5,910,776,525",14.259
***Expand by month***,,,,,,,,
202401,"902,265,457",25.147,"635,852,122",15.876,"266,413,335",54.685,"369,438,787",-1.877
202402,"707,968,269",10.459,"552,182,528",15.339,"155,785,741",-3.945,"396,396,787",25.218
202403,"884,434,959",16.673,"659,987,819",20.938,"224,447,140",5.711,"435,540,679",30.635
202404,"863,686,313",30.266,"634,825,013",35.246,"228,861,300",18.195,"405,963,713",47.218
202405,"1,000,869,504",47.487,"746,159,215",56.028,"254,710,289",27.106,"491,448,926",76.889
202406,"911,701,011",45.163,"676,901,538",51.451,"234,799,473",29.645,"442,102,065",66.307
202407,"846,535,561",14.012,"574,691,983",13.038,"271,843,578",16.129,"302,848,405",10.400
202408,"963,957,002",37.469,"680,861,614",34.185,"283,095,388",46.068,"397,766,226",26.841
202409,"804,099,996",22.551,"595,170,594",16.111,"208,929,402",45.546,"386,241,192",4.662
202410,"754,401,679",16.517,"579,196,508",25.062,"175,205,171",-4.951,"403,991,337",44.905
202411,"947,805,917",43.320,"717,941,686",43.463,"229,864,231",42.874,"488,077,455",43.743
202412,"1,022,106,332",41.166,"837,715,697",52.178,"184,390,635",6.239,"653,325,062",73.332
202501,"830,097,187",-7.999,"620,762,192",-2.373,"209,334,995",-21.425,"411,427,197",11.365
202502,"935,712,770",32.169,"680,839,863",23.300,"254,872,907",63.605,"425,966,956",7.460
202503,"1,194,184,318",35.022,"861,399,035",30.517,"332,785,283",48.269,"528,613,752",21.370
202504,"1,075,247,004",24.495,"808,761,774",27.399,"266,485,230",16.440,"542,276,544",33.578
202505,"1,120,990,574",12.002,"862,470,845",15.588,"258,519,729",1.496,"603,951,116",22.892
202506,"920,862,059",1.005,"692,635,327",2.324,"228,226,732",-2.799,"464,408,595",5.046
202507,"967,425,239",14.281,"680,899,154",18.481,"286,526,085",5.401,"394,373,069",30.221
202508,"1,006,902,636",4.455,"762,413,241",11.978,"244,489,395",-13.637,"517,923,846",30.208
202509,"985,366,353",22.543,"705,381,222",18.517,"279,985,131",34.009,"425,396,091",10.137
202510,"1,131,308,318",49.961,"854,230,151",47.485,"277,078,167",58.145,"577,151,984",42.862
202511,"1,060,281,510",11.867,"753,245,970",4.917,"307,035,540",33.573,"446,210,430",-8.578
202512,"1,285,930,383",25.812,"929,503,664",10.957,"356,426,719",93.300,"573,076,945",-12.283
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
