"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Indonesia,,,,,PRINT TIME:2026/02/08 12:42:16,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"7,058,326,489",-21.289,"2,746,589,466",-9.602,"4,311,737,023",-27.278,"-1,565,147,557",-45.857
2017,"8,074,528,309",14.397,"3,193,405,884",16.268,"4,881,122,425",13.205,"-1,687,716,541",7.831
2018,"8,816,825,944",9.193,"3,329,566,880",4.264,"5,487,259,064",12.418,"-2,157,692,184",27.847
2019,"7,603,192,288",-13.765,"2,921,653,845",-12.251,"4,681,538,443",-14.683,"-1,759,884,598",-18.437
2020,"6,785,045,233",-10.761,"2,276,942,124",-22.067,"4,508,103,109",-3.705,"-2,231,160,985",26.779
2021,"10,980,225,733",61.830,"3,070,256,987",34.841,"7,909,968,746",75.461,"-4,839,711,759",116.915
2022,"14,427,262,539",31.393,"3,214,987,058",4.714,"11,212,275,481",41.749,"-7,997,288,423",65.243
2023,"10,399,313,685",-27.919,"3,010,136,075",-6.372,"7,389,177,610",-34.097,"-4,379,041,535",-45.243
2024,"10,753,149,754",3.402,"3,063,958,123",1.788,"7,689,191,631",4.060,"-4,625,233,508",5.622
2025,"11,264,564,609",4.756,"4,714,550,760",53.871,"6,550,013,849",-14.815,"-1,835,463,089",-60.316
***Expand by month***,,,,,,,,
202401,"951,878,035",18.988,"243,601,137",-8.271,"708,276,898",32.534,"-464,675,761",72.842
202402,"619,466,502",-24.892,"202,168,441",-12.301,"417,298,061",-29.777,"-215,129,620",-40.853
202403,"911,599,899",-9.436,"202,384,507",-39.041,"709,215,392",5.135,"-506,830,885",47.947
202404,"845,747,090",-10.924,"265,512,727",29.265,"580,234,363",-22.019,"-314,721,636",-41.574
202405,"800,220,737",2.023,"246,707,742",11.523,"553,512,995",-1.709,"-306,805,253",-10.270
202406,"1,002,012,654",12.677,"270,875,342",22.323,"731,137,312",9.478,"-460,261,970",3.107
202407,"1,067,699,866",18.122,"297,592,202",11.030,"770,107,664",21.111,"-472,515,462",28.456
202408,"805,610,763",-8.504,"267,942,834",7.111,"537,667,929",-14.701,"-269,725,095",-29.053
202409,"973,516,396",1.434,"281,838,289",17.452,"691,678,107",-3.906,"-409,839,818",-14.587
202410,"931,068,659",0.720,"226,157,114",-11.459,"704,911,545",5.370,"-478,754,431",15.765
202411,"841,650,301",7.163,"254,945,244",-12.998,"586,705,057",19.163,"-331,759,813",66.446
202412,"1,002,678,852",45.119,"304,232,544",33.803,"698,446,308",50.669,"-394,213,764",66.906
202501,"731,572,253",-23.144,"263,568,444",8.197,"468,003,809",-33.924,"-204,435,365",-56.005
202502,"876,252,378",41.453,"241,910,754",19.658,"634,341,624",52.012,"-392,430,870",82.416
202503,"790,478,287",-13.287,"233,223,626",15.238,"557,254,661",-21.427,"-324,031,035",-36.067
202504,"978,485,599",15.695,"333,384,515",25.563,"645,101,084",11.179,"-311,716,569",-0.955
202505,"846,780,112",5.818,"317,478,458",28.686,"529,301,654",-4.374,"-211,823,196",-30.958
202506,"914,619,352",-8.722,"386,972,535",42.860,"527,646,817",-27.832,"-140,674,282",-69.436
202507,"858,316,029",-19.611,"296,914,993",-0.228,"561,401,036",-27.101,"-264,486,043",-44.026
202508,"1,074,716,389",33.404,"504,144,939",88.154,"570,571,450",6.120,"-66,426,511",-75.373
202509,"1,119,923,595",15.039,"575,055,627",104.037,"544,867,968",-21.225,"30,187,659",---
202510,"1,025,014,883",10.090,"475,245,085",110.139,"549,769,798",-22.009,"-74,524,713",-84.434
202511,"1,177,707,602",39.928,"650,664,330",155.217,"527,043,272",-10.169,"123,621,058",---
202512,"870,698,130",-13.163,"435,987,454",43.307,"434,710,676",-37.760,"1,276,778",---
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
