"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Lao Peoples Democratic Republic,,,,,PRINT TIME:2026/02/08 12:44:06,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"21,064,407",20.565,"3,864,031",17.397,"17,200,376",21.300,"-13,336,345",22.480
2017,"22,307,177",5.900,"6,742,598",74.496,"15,564,579",-9.510,"-8,821,981",-33.850
2018,"20,568,900",-7.792,"5,937,794",-11.936,"14,631,106",-5.997,"-8,693,312",-1.459
2019,"23,207,034",12.826,"10,113,745",70.328,"13,093,289",-10.511,"-2,979,544",-65.726
2020,"18,421,565",-20.621,"6,000,614",-40.669,"12,420,951",-5.135,"-6,420,337",115.481
2021,"24,266,521",31.729,"8,621,280",43.673,"15,645,241",25.958,"-7,023,961",9.402
2022,"21,642,385",-10.814,"5,993,698",-30.478,"15,648,687",0.022,"-9,654,989",37.458
2023,"24,636,975",13.837,"6,326,264",5.549,"18,310,711",17.011,"-11,984,447",24.127
2024,"63,794,180",158.937,"37,250,162",488.818,"26,544,018",44.964,"10,706,144",---
2025,"69,892,286",9.559,"45,976,693",23.427,"23,915,593",-9.902,"22,061,100",106.060
***Expand by month***,,,,,,,,
202401,"4,206,470",105.258,"1,312,981","2,420.456","2,893,489",44.872,"-1,580,508",-18.747
202402,"2,617,860",31.139,"233,470",-23.816,"2,384,390",41.105,"-2,150,920",55.488
202403,"3,943,414",10.529,"1,351,135",420.137,"2,592,279",-21.636,"-1,241,144",-59.283
202404,"3,575,051",57.060,"445,981",14.398,"3,129,070",65.877,"-2,683,089",79.288
202405,"6,624,358",306.923,"2,343,721",609.399,"4,280,637",229.906,"-1,936,916",100.270
202406,"5,777,539",115.987,"3,975,403",375.622,"1,802,136",-2.011,"2,173,267",---
202407,"7,037,181",290.252,"5,381,098","3,099.530","1,656,083",1.286,"3,725,015",---
202408,"8,509,329",444.805,"6,636,023","1,164.137","1,873,306",80.654,"4,762,717",---
202409,"6,329,930",518.306,"4,418,210",742.231,"1,911,720",282.981,"2,506,490","9,762.247"
202410,"5,134,473",161.576,"3,318,795",474.563,"1,815,678",31.069,"1,503,117",---
202411,"4,027,211",58.129,"2,623,185",68.688,"1,404,026",41.572,"1,219,159",116.428
202412,"6,011,364",288.855,"5,210,160",550.050,"801,204",7.629,"4,408,956","7,623.087"
202501,"9,107,578",116.514,"8,040,383",512.376,"1,067,195",-63.117,"6,973,188",---
202502,"7,192,648",174.753,"5,270,003","2,157.251","1,922,645",-19.365,"3,347,358",---
202503,"7,912,960",100.663,"4,989,471",269.280,"2,923,489",12.777,"2,065,982",---
202504,"8,554,403",139.281,"6,570,791","1,373.334","1,983,612",-36.607,"4,587,179",---
202505,"5,567,100",-15.960,"2,508,173",7.017,"3,058,927",-28.540,"-550,754",-71.565
202506,"5,181,527",-10.316,"3,300,510",-16.977,"1,881,017",4.377,"1,419,493",-34.684
202507,"5,052,654",-28.201,"3,675,680",-31.693,"1,376,974",-16.854,"2,298,706",-38.290
202508,"3,578,738",-57.943,"1,813,467",-72.672,"1,765,271",-5.767,"48,196",-98.988
202509,"5,381,821",-14.978,"2,366,183",-46.445,"3,015,638",57.745,"-649,455",---
202510,"3,818,266",-25.635,"2,679,620",-19.259,"1,138,646",-37.288,"1,540,974",2.519
202511,"4,252,337",5.590,"2,844,472",8.436,"1,407,865",0.273,"1,436,607",17.836
202512,"4,292,254",-28.598,"1,917,940",-63.188,"2,374,314",196.343,"-456,374",---
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
