"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Malaysia,,,,,PRINT TIME:2026/02/08 13:10:19,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"14,103,731,166",3.329,"7,814,635,326",9.546,"6,289,095,840",-3.477,"1,525,539,486",146.837
2017,"17,548,021,100",24.421,"10,369,083,251",32.688,"7,178,937,849",14.149,"3,190,145,402",109.116
2018,"19,907,278,497",13.445,"10,602,395,484",2.250,"9,304,883,013",29.614,"1,297,512,471",-59.327
2019,"19,766,143,108",-0.709,"9,400,186,984",-11.339,"10,365,956,124",11.403,"-965,769,140",---
2020,"19,348,454,287",-2.113,"9,458,699,696",0.622,"9,889,754,591",-4.594,"-431,054,895",-55.367
2021,"25,127,327,811",29.867,"13,328,299,254",40.910,"11,799,028,557",19.306,"1,529,270,697",---
2022,"30,563,341,396",21.634,"17,013,915,054",27.653,"13,549,426,342",14.835,"3,464,488,712",126.545
2023,"24,854,684,427",-18.678,"15,166,073,967",-10.861,"9,688,610,460",-28.494,"5,477,463,507",58.103
2024,"34,499,264,409",38.804,"19,888,302,728",31.137,"14,610,961,681",50.806,"5,277,341,047",-3.654
2025,"56,359,480,682",63.364,"37,698,289,583",89.550,"18,661,191,099",27.720,"19,037,098,484",260.733
***Expand by month***,,,,,,,,
202401,"2,418,157,440",23.666,"1,404,638,017",30.957,"1,013,519,423",14.807,"391,118,594",106.072
202402,"2,461,448,335",18.087,"1,491,564,169",17.803,"969,884,166",18.527,"521,680,003",16.481
202403,"2,812,729,375",34.358,"1,571,632,098",33.483,"1,241,097,277",35.482,"330,534,821",26.476
202404,"2,402,669,490",22.139,"1,317,506,864",7.726,"1,085,162,626",45.829,"232,344,238",-51.482
202405,"2,945,900,465",41.274,"1,667,484,343",34.034,"1,278,416,122",51.983,"389,068,221",-3.436
202406,"3,065,164,749",70.688,"1,577,433,665",43.047,"1,487,731,084",114.669,"89,702,581",-78.105
202407,"3,144,558,049",70.923,"1,839,110,191",64.308,"1,305,447,858",81.200,"533,662,333",33.796
202408,"2,875,448,322",36.048,"1,698,161,891",31.598,"1,177,286,431",43.024,"520,875,460",11.471
202409,"2,947,437,098",60.223,"1,590,058,192",33.305,"1,357,378,906",109.864,"232,679,286",-57.385
202410,"2,942,855,195",26.768,"1,666,968,660",22.784,"1,275,886,535",32.380,"391,082,125",-0.699
202411,"2,958,744,406",31.353,"1,758,364,812",27.593,"1,200,379,594",37.278,"557,985,218",10.779
202412,"3,524,151,485",40.607,"2,305,379,826",32.353,"1,218,771,659",59.410,"1,086,608,167",11.186
202501,"3,452,086,143",42.757,"2,489,399,941",77.227,"962,686,202",-5.016,"1,526,713,739",290.345
202502,"3,322,170,320",34.968,"2,128,756,142",42.720,"1,193,414,178",23.047,"935,341,964",79.294
202503,"5,090,115,433",80.967,"3,603,184,121",129.264,"1,486,931,312",19.808,"2,116,252,809",540.251
202504,"5,756,033,375",139.568,"4,243,331,071",222.073,"1,512,702,304",39.399,"2,730,628,767","1,075.251"
202505,"4,214,039,015",43.048,"2,611,751,335",56.628,"1,602,287,680",25.334,"1,009,463,655",159.457
202506,"4,179,776,179",36.364,"2,506,698,656",58.910,"1,673,077,523",12.458,"833,621,133",829.317
202507,"6,063,701,763",92.832,"4,462,258,728",142.631,"1,601,443,035",22.674,"2,860,815,693",436.072
202508,"5,557,934,299",93.289,"3,735,712,790",119.986,"1,822,221,509",54.781,"1,913,491,281",267.361
202509,"4,892,673,031",65.998,"3,035,229,169",90.888,"1,857,443,862",36.840,"1,177,785,307",406.184
202510,"5,118,325,495",73.924,"3,506,175,073",110.332,"1,612,150,422",26.355,"1,894,024,651",384.304
202511,"4,775,524,503",61.404,"2,875,546,709",63.535,"1,899,977,794",58.281,"975,568,915",74.838
202512,"3,937,101,126",11.718,"2,500,245,848",8.453,"1,436,855,278",17.894,"1,063,390,570",-2.137
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
