"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Myanmar,,,,,PRINT TIME:2026/02/08 12:58:51,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"281,849,805",4.239,"212,116,083",-2.266,"69,733,722",30.701,"142,382,361",-13.011
2017,"295,411,897",4.812,"238,240,879",12.316,"57,171,018",-18.015,"181,069,861",27.172
2018,"342,710,507",16.011,"271,354,598",13.899,"71,355,909",24.811,"199,998,689",10.454
2019,"312,692,446",-8.759,"242,188,136",-10.748,"70,504,310",-1.193,"171,683,826",-14.158
2020,"269,486,000",-13.818,"206,476,697",-14.745,"63,009,303",-10.631,"143,467,394",-16.435
2021,"234,641,552",-12.930,"172,080,288",-16.659,"62,561,264",-0.711,"109,519,024",-23.663
2022,"284,939,342",21.436,"191,664,036",11.381,"93,275,306",49.094,"98,388,730",-10.163
2023,"212,744,294",-25.337,"132,684,261",-30.772,"80,060,033",-14.168,"52,624,228",-46.514
2024,"167,979,028",-21.042,"95,597,363",-27.951,"72,381,665",-9.591,"23,215,698",-55.884
2025,"178,897,975",6.500,"105,139,437",9.982,"73,758,538",1.902,"31,380,899",35.171
***Expand by month***,,,,,,,,
202401,"15,641,979",-28.759,"9,880,024",-23.465,"5,761,955",-36.313,"4,118,069",6.631
202402,"9,971,442",-53.641,"5,148,611",-57.960,"4,822,831",-47.930,"325,780",-89.085
202403,"13,156,325",-17.967,"7,190,509",-21.355,"5,965,816",-13.474,"1,224,693",-45.524
202404,"12,820,298",-36.609,"8,084,933",-34.188,"4,735,365",-40.355,"3,349,568",-22.922
202405,"14,875,315",-11.045,"9,261,725",-19.580,"5,613,590",7.838,"3,648,135",-42.195
202406,"12,586,793",-16.150,"7,935,509",-20.472,"4,651,284",-7.583,"3,284,225",-33.589
202407,"14,475,375",-28.382,"9,059,603",-25.824,"5,415,772",-32.287,"3,643,831",-13.561
202408,"17,731,292",24.429,"10,150,912",27.628,"7,580,380",20.388,"2,570,532",55.143
202409,"15,006,762",-25.044,"8,449,409",-43.264,"6,557,353",27.864,"1,892,056",-80.622
202410,"14,669,697",-16.135,"6,015,957",-39.606,"8,653,740",14.912,"-2,637,783",---
202411,"12,327,069",-12.124,"6,399,139",-27.137,"5,927,930",13.012,"471,209",-86.678
202412,"14,716,681",-3.690,"8,021,032",-25.745,"6,695,649",49.507,"1,325,383",-79.041
202501,"15,322,840",-2.040,"9,556,312",-3.276,"5,766,528",0.079,"3,789,784",-7.972
202502,"13,669,040",37.082,"7,087,331",37.655,"6,581,709",36.470,"505,622",55.204
202503,"16,232,540",23.382,"9,044,770",25.788,"7,187,770",20.483,"1,857,000",51.630
202504,"16,263,853",26.860,"12,837,979",58.789,"3,425,874",-27.653,"9,412,105",180.995
202505,"13,767,954",-7.444,"9,901,176",6.904,"3,866,778",-31.118,"6,034,398",65.410
202506,"14,292,033",13.548,"9,379,589",18.198,"4,912,444",5.615,"4,467,145",36.018
202507,"12,647,100",-12.630,"7,948,033",-12.270,"4,699,067",-13.234,"3,248,966",-10.837
202508,"14,645,733",-17.402,"9,963,243",-1.849,"4,682,490",-38.229,"5,280,753",105.434
202509,"14,247,009",-5.063,"8,029,330",-4.972,"6,217,679",-5.180,"1,811,651",-4.250
202510,"19,171,590",30.688,"7,059,452",17.345,"12,112,138",39.964,"-5,052,686",91.550
202511,"13,908,277",12.827,"6,085,010",-4.909,"7,823,267",31.973,"-1,738,257",---
202512,"14,730,006",0.091,"8,247,212",2.820,"6,482,794",-3.179,"1,764,418",33.125
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
