"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Nepal,,,,,PRINT TIME:2026/02/08 12:45:07,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"9,112,955",16.250,"7,475,158",24.591,"1,637,797",-10.959,"5,837,361",40.308
2017,"10,926,852",19.905,"9,563,944",27.943,"1,362,908",-16.784,"8,201,036",40.492
2018,"27,003,285",147.128,"24,925,230",160.617,"2,078,055",52.472,"22,847,175",178.589
2019,"12,283,779",-54.510,"10,711,404",-57.026,"1,572,375",-24.334,"9,139,029",-59.999
2020,"10,479,065",-14.692,"9,649,927",-9.910,"829,138",-47.268,"8,820,789",-3.482
2021,"12,232,012",16.728,"10,520,155",9.018,"1,711,857",106.462,"8,808,298",-0.142
2022,"10,799,057",-11.715,"9,105,093",-13.451,"1,693,964",-1.045,"7,411,129",-15.862
2023,"29,580,184",173.915,"27,565,209",202.745,"2,014,975",18.950,"25,550,234",244.755
2024,"15,583,269",-47.319,"13,184,945",-52.168,"2,398,324",19.025,"10,786,621",-57.783
2025,"7,523,011",-51.724,"5,247,345",-60.202,"2,275,666",-5.114,"2,971,679",-72.450
***Expand by month***,,,,,,,,
202401,"843,138",15.176,"723,384",40.063,"119,754",-44.449,"603,630",100.611
202402,"779,937",-4.577,"607,310",-3.759,"172,627",-7.346,"434,683",-2.257
202403,"644,317",-37.516,"566,557",-39.296,"77,760",-20.536,"488,797",-41.494
202404,"672,922",-14.814,"460,404",-34.535,"212,518",145.221,"247,886",-59.799
202405,"785,679",-11.247,"571,844",-16.621,"213,835",7.236,"358,009",-26.400
202406,"956,342",-22.698,"832,858",-25.837,"123,484",8.178,"709,374",-29.685
202407,"733,061",-1.966,"426,582",-9.279,"306,479",10.422,"120,103",-37.660
202408,"698,930",-9.214,"414,119",-35.091,"284,811",115.992,"129,308",-74.452
202409,"7,723,485",533.263,"7,537,613",625.815,"185,872",2.619,"7,351,741",757.471
202410,"669,447",-94.158,"355,570",-96.836,"313,877",41.826,"41,693",-99.622
202411,"487,015",-94.825,"280,260",-96.966,"206,755",18.391,"73,505",-99.189
202412,"588,996",23.176,"408,444",16.814,"180,552",40.486,"227,892",3.056
202501,"646,490",-23.323,"505,392",-30.135,"141,098",17.823,"364,294",-39.649
202502,"500,392",-35.842,"333,974",-45.008,"166,418",-3.597,"167,556",-61.453
202503,"526,089",-18.349,"374,259",-33.942,"151,830",95.255,"222,429",-54.495
202504,"492,189",-26.858,"316,413",-31.275,"175,776",-17.289,"140,637",-43.265
202505,"813,313",3.517,"541,256",-5.349,"272,057",27.228,"269,199",-24.807
202506,"749,540",-21.624,"549,329",-34.043,"200,211",62.135,"349,118",-50.785
202507,"791,026",7.907,"619,578",45.242,"171,448",-44.059,"448,130",273.121
202508,"752,402",7.651,"473,917",14.440,"278,485",-2.221,"195,432",51.137
202509,"648,528",-91.603,"429,474",-94.302,"219,054",17.852,"210,420",-97.138
202510,"332,267",-50.367,"188,478",-46.993,"143,789",-54.189,"44,689",7.186
202511,"507,512",4.209,"344,450",22.904,"163,062",-21.133,"181,388",146.770
202512,"763,263",29.587,"570,825",39.756,"192,438",6.583,"378,387",66.038
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
