"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): New Zealand,,,,,PRINT TIME:2026/02/09 03:35:21,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"1,239,565,966",-2.308,"426,274,336",-0.358,"813,291,630",-3.300,"-387,017,294",-6.347
2017,"1,308,003,313",5.521,"468,260,402",9.850,"839,742,911",3.252,"-371,482,509",-4.014
2018,"1,393,806,895",6.560,"484,176,842",3.399,"909,630,053",8.322,"-425,453,211",14.528
2019,"1,319,321,407",-5.344,"479,664,620",-0.932,"839,656,787",-7.692,"-359,992,167",-15.386
2020,"1,301,764,759",-1.331,"433,784,618",-9.565,"867,980,141",3.373,"-434,195,523",20.612
2021,"1,646,193,389",26.459,"642,215,923",48.049,"1,003,977,466",15.668,"-361,761,543",-16.682
2022,"1,879,994,366",14.203,"718,974,498",11.952,"1,161,019,868",15.642,"-442,045,370",22.192
2023,"1,537,860,246",-18.199,"464,589,518",-35.382,"1,073,270,728",-7.558,"-608,681,210",37.697
2024,"1,458,637,255",-5.152,"405,679,258",-12.680,"1,052,957,997",-1.893,"-647,278,739",6.341
2025,"1,569,697,526",7.614,"398,077,503",-1.874,"1,171,620,023",11.269,"-773,542,520",19.507
***Expand by month***,,,,,,,,
202401,"136,721,917",-4.382,"34,615,456",-12.903,"102,106,461",-1.102,"-67,491,005",6.284
202402,"79,154,617",-21.136,"25,061,980",-22.273,"54,092,637",-20.599,"-29,030,657",-19.095
202403,"112,768,905",-3.379,"39,183,937",-0.663,"73,584,968",-4.765,"-34,401,031",-9.043
202404,"104,580,505",-13.011,"25,611,574",-32.816,"78,968,931",-3.815,"-53,357,357",21.323
202405,"138,552,593",-8.710,"34,677,664",-7.614,"103,874,929",-9.071,"-69,197,265",-9.783
202406,"142,883,756",-14.402,"33,367,245",-6.591,"109,516,511",-16.528,"-76,149,266",-20.246
202407,"141,133,809",16.132,"37,968,737",6.779,"103,165,072",20.001,"-65,196,335",29.327
202408,"149,102,286",-3.342,"35,182,623",-23.943,"113,919,663",5.482,"-78,737,040",27.529
202409,"111,946,787",-12.571,"30,957,166",-27.838,"80,989,621",-4.878,"-50,032,455",18.438
202410,"116,055,220",6.383,"39,001,509",7.349,"77,053,711",5.901,"-38,052,202",4.458
202411,"104,717,550",-4.249,"32,163,981",-21.508,"72,553,569",6.092,"-40,389,588",47.355
202412,"121,019,310",3.800,"37,887,386",-4.693,"83,131,924",8.195,"-45,244,538",22.011
202501,"108,308,344",-20.782,"24,527,819",-29.142,"83,780,525",-17.948,"-59,252,706",-12.207
202502,"111,498,432",40.862,"33,843,147",35.038,"77,655,285",43.560,"-43,812,138",50.917
202503,"128,553,386",13.997,"29,824,682",-23.885,"98,728,704",34.170,"-68,904,022",100.296
202504,"141,131,452",34.950,"31,435,165",22.738,"109,696,287",38.911,"-78,261,122",46.674
202505,"147,471,686",6.437,"34,689,888",0.035,"112,781,798",8.575,"-78,091,910",12.854
202506,"161,843,138",13.269,"40,705,558",21.993,"121,137,580",10.611,"-80,432,022",5.624
202507,"146,707,980",3.950,"30,783,708",-18.924,"115,924,272",12.368,"-85,140,564",30.591
202508,"155,095,420",4.019,"36,964,077",5.063,"118,131,343",3.697,"-81,167,266",3.087
202509,"131,308,800",17.296,"37,206,343",20.187,"94,102,457",16.191,"-56,896,114",13.718
202510,"101,452,047",-12.583,"30,530,859",-21.719,"70,921,188",-7.959,"-40,390,329",6.145
202511,"119,179,055",13.810,"36,931,140",14.821,"82,247,915",13.362,"-45,316,775",12.199
202512,"117,147,786",-3.199,"30,635,117",-19.142,"86,512,669",4.067,"-55,877,552",23.501
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
