"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Pakistan,,,,,PRINT TIME:2026/02/08 12:45:51,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"607,158,067",-6.913,"452,441,115",5.741,"154,716,952",-31.045,"297,724,163",46.301
2017,"655,618,571",7.982,"518,157,064",14.525,"137,461,507",-11.153,"380,695,557",27.869
2018,"912,185,508",39.134,"729,802,795",40.846,"182,382,713",32.679,"547,420,082",43.795
2019,"727,903,785",-20.202,"626,363,654",-14.174,"101,540,131",-44.326,"524,823,523",-4.128
2020,"524,579,027",-27.933,"440,484,787",-29.676,"84,094,240",-17.181,"356,390,547",-32.093
2021,"887,243,967",69.134,"728,192,543",65.316,"159,051,424",89.135,"569,141,119",59.696
2022,"832,214,662",-6.202,"537,283,006",-26.217,"294,931,656",85.432,"242,351,350",-57.418
2023,"455,565,226",-45.259,"369,181,838",-31.287,"86,383,388",-70.711,"282,798,450",16.689
2024,"389,429,779",-14.517,"307,402,432",-16.734,"82,027,347",-5.043,"225,375,085",-20.305
2025,"390,686,968",0.323,"328,611,101",6.899,"62,075,867",-24.323,"266,535,234",18.263
***Expand by month***,,,,,,,,
202401,"32,774,882",-8.070,"25,224,860",9.894,"7,550,022",-40.542,"17,674,838",72.341
202402,"25,640,111",24.101,"20,621,198",42.190,"5,018,913",-18.498,"15,602,285",86.975
202403,"39,512,901",24.827,"31,149,180",18.223,"8,363,721",57.622,"22,785,459",8.287
202404,"43,759,925",38.695,"38,724,143",51.797,"5,035,782",-16.636,"33,688,361",73.029
202405,"33,301,848",-28.680,"22,885,833",-38.610,"10,416,015",10.646,"12,469,818",-55.251
202406,"31,871,306",5.333,"25,155,268",0.996,"6,716,038",25.524,"18,439,230",-5.715
202407,"28,002,115",-38.807,"21,984,120",-45.816,"6,017,995",16.018,"15,966,125",-54.880
202408,"31,113,668",-23.051,"23,671,741",-31.832,"7,441,927",30.360,"16,229,814",-44.068
202409,"28,801,347",-19.684,"21,202,277",-28.163,"7,599,070",19.759,"13,603,207",-41.288
202410,"27,841,875",-49.606,"22,875,927",-51.348,"4,965,948",-39.651,"17,909,979",-53.829
202411,"31,817,668",-28.621,"25,553,198",-34.710,"6,264,470",15.203,"19,288,728",-42.763
202412,"34,992,133",-5.981,"28,354,687",6.159,"6,637,446",-36.837,"21,717,241",34.047
202501,"28,679,520",-12.495,"24,878,830",-1.372,"3,800,690",-49.660,"21,078,140",19.255
202502,"31,707,044",23.662,"24,670,960",19.639,"7,036,084",40.191,"17,634,876",13.028
202503,"36,050,625",-8.762,"30,506,600",-2.063,"5,544,025",-33.713,"24,962,575",9.555
202504,"35,668,787",-18.490,"30,617,465",-20.934,"5,051,322",0.309,"25,566,143",-24.110
202505,"32,563,344",-2.218,"27,940,291",22.086,"4,623,053",-55.616,"23,317,238",86.989
202506,"33,029,640",3.634,"27,903,059",10.923,"5,126,581",-23.667,"22,776,478",23.522
202507,"35,576,494",27.049,"30,051,043",36.694,"5,525,451",-8.185,"24,525,592",53.610
202508,"34,247,435",10.072,"26,690,486",12.753,"7,556,949",1.546,"19,133,537",17.891
202509,"36,452,927",26.567,"31,804,015",50.003,"4,648,912",-38.823,"27,155,103",99.623
202510,"26,882,947",-3.444,"22,351,437",-2.293,"4,531,510",-8.748,"17,819,927",-0.503
202511,"30,341,254",-4.640,"25,810,394",1.007,"4,530,860",-27.674,"21,279,534",10.321
202512,"29,486,951",-15.733,"25,386,521",-10.468,"4,100,430",-38.223,"21,286,091",-1.985
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
