"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Philippines,,,,,PRINT TIME:2026/02/09 03:31:17,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"10,863,779,259",17.068,"8,659,468,819",16.310,"2,204,310,440",20.144,"6,455,158,379",15.057
2017,"11,971,900,074",10.200,"9,593,305,740",10.784,"2,378,594,334",7.907,"7,214,711,406",11.767
2018,"11,436,336,780",-4.474,"8,942,748,414",-6.781,"2,493,588,366",4.835,"6,449,160,048",-10.611
2019,"8,271,122,966",-27.677,"6,156,614,625",-31.155,"2,114,508,341",-15.202,"4,042,106,284",-37.324
2020,"7,771,413,495",-6.042,"5,646,165,394",-8.291,"2,125,248,101",0.508,"3,520,917,293",-12.894
2021,"9,071,550,201",16.730,"6,073,482,423",7.568,"2,998,067,778",41.069,"3,075,414,645",-12.653
2022,"10,720,889,131",18.181,"7,639,997,373",25.793,"3,080,891,758",2.763,"4,559,105,615",48.244
2023,"7,410,326,378",-30.880,"5,062,426,250",-33.738,"2,347,900,128",-23.792,"2,714,526,122",-40.459
2024,"6,711,557,355",-9.430,"4,248,846,286",-16.071,"2,462,711,069",4.890,"1,786,135,217",-34.201
2025,"7,164,098,433",6.743,"4,480,918,525",5.462,"2,683,179,908",8.952,"1,797,738,617",0.650
***Expand by month***,,,,,,,,
202401,"651,718,601",-7.580,"414,206,666",-15.899,"237,511,935",11.688,"176,694,731",-36.861
202402,"538,178,662",-13.909,"350,472,444",-20.834,"187,706,218",2.896,"162,766,226",-37.465
202403,"508,135,151",-28.774,"300,138,698",-39.397,"207,996,453",-4.660,"92,142,245",-66.746
202404,"540,493,153",-13.275,"344,841,596",-20.447,"195,651,557",3.110,"149,190,039",-38.788
202405,"590,187,046",-12.866,"370,451,743",-22.974,"219,735,303",11.888,"150,716,440",-47.034
202406,"526,887,631",-11.264,"319,971,187",-23.237,"206,916,444",16.943,"113,054,743",-52.873
202407,"626,301,049",4.124,"402,871,289",-0.813,"223,429,760",14.389,"179,441,529",-14.896
202408,"547,138,001",-12.697,"344,633,690",-22.365,"202,504,311",10.783,"142,129,379",-45.570
202409,"512,255,447",-17.191,"301,634,296",-28.722,"210,621,151",7.776,"91,013,145",-60.039
202410,"568,428,694",-1.586,"403,596,487",12.093,"164,832,207",-24.228,"238,764,280",67.531
202411,"568,349,672",2.080,"373,338,261",-0.780,"195,011,411",8.042,"178,326,850",-8.913
202412,"533,484,248",8.625,"322,689,929",10.845,"210,794,319",5.394,"111,895,610",22.813
202501,"463,012,519",-28.955,"320,775,537",-22.557,"142,236,982",-40.114,"178,538,555",1.044
202502,"526,827,439",-2.109,"295,932,706",-15.562,"230,894,733",23.009,"65,037,973",-60.042
202503,"628,348,785",23.658,"371,777,267",23.868,"256,571,518",23.354,"115,205,749",25.030
202504,"511,315,421",-5.398,"297,602,733",-13.699,"213,712,688",9.231,"83,890,045",-43.770
202505,"563,190,052",-4.574,"377,525,943",1.910,"185,664,109",-15.506,"191,861,834",27.300
202506,"696,373,313",32.167,"431,385,006",34.820,"264,988,307",28.065,"166,396,699",47.182
202507,"585,696,026",-6.483,"360,006,664",-10.640,"225,689,362",1.011,"134,317,302",-25.147
202508,"650,447,180",18.882,"433,321,022",25.734,"217,126,158",7.221,"216,194,864",52.111
202509,"635,297,486",24.020,"375,482,872",24.483,"259,814,614",23.356,"115,668,258",27.090
202510,"589,598,414",3.724,"378,120,198",-6.312,"211,478,216",28.299,"166,641,982",-30.206
202511,"661,671,333",16.420,"413,945,824",10.877,"247,725,509",27.031,"166,220,315",-6.789
202512,"652,320,465",22.275,"425,042,753",31.719,"227,277,712",7.820,"197,765,041",76.741
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
