"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Singapore,,,,,PRINT TIME:2026/02/09 03:30:03,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"23,674,019,597",-2.844,"16,147,731,665",-6.424,"7,526,287,932",5.846,"8,621,443,733",-15.024
2017,"26,331,812,605",11.227,"17,620,122,862",9.118,"8,711,689,743",15.750,"8,908,433,119",3.329
2018,"25,741,228,652",-2.243,"17,324,638,948",-1.677,"8,416,589,704",-3.387,"8,908,049,244",-0.004
2019,"26,107,228,611",1.422,"18,184,660,117",4.964,"7,922,568,494",-5.870,"10,262,091,623",15.200
2020,"28,073,458,707",7.531,"19,084,078,656",4.946,"8,989,380,051",13.465,"10,094,698,605",-1.631
2021,"37,792,658,031",34.621,"25,719,207,527",34.768,"12,073,450,504",34.308,"13,645,757,023",35.177
2022,"42,048,740,927",11.262,"29,522,981,387",14.790,"12,525,759,540",3.746,"16,997,221,847",24.560
2023,"39,263,233,324",-6.624,"29,738,709,288",0.731,"9,524,524,036",-23.961,"20,214,185,252",18.926
2024,"43,441,947,953",10.643,"33,741,713,563",13.461,"9,700,234,390",1.845,"24,041,479,173",18.934
2025,"53,440,018,383",23.015,"40,404,525,717",19.747,"13,035,492,666",34.383,"27,369,033,051",13.841
***Expand by month***,,,,,,,,
202401,"3,130,071,788",17.252,"2,339,476,705",38.876,"790,595,083",-19.733,"1,548,881,622",121.386
202402,"2,957,455,581",0.083,"2,373,824,229",11.637,"583,631,352",-29.566,"1,790,192,877",37.945
202403,"4,423,377,918",44.758,"3,743,414,498",57.731,"679,963,420",-0.358,"3,063,451,078",81.174
202404,"3,505,663,893",1.890,"2,605,497,384",1.393,"900,166,509",3.357,"1,705,330,875",0.386
202405,"3,116,382,545",-1.107,"2,324,069,088",3.963,"792,313,457",-13.481,"1,531,755,631",16.067
202406,"3,724,571,142",26.743,"2,980,835,459",44.025,"743,735,683",-14.416,"2,237,099,776",86.324
202407,"3,173,977,286",-12.159,"2,280,975,416",-16.256,"893,001,870",0.384,"1,387,973,546",-24.326
202408,"3,634,333,302",-1.067,"2,765,583,998",-5.984,"868,749,304",18.696,"1,896,834,694",-14.158
202409,"3,709,514,437",-11.201,"2,869,191,258",-18.313,"840,323,179",26.363,"2,028,868,079",-28.747
202410,"3,667,188,705",5.948,"2,814,310,546",7.363,"852,878,159",1.532,"1,961,432,387",10.113
202411,"3,782,995,297",33.698,"2,910,113,361",30.395,"872,881,936",46.032,"2,037,231,425",24.675
202412,"4,616,416,059",40.004,"3,734,421,621",40.986,"881,994,438",35.990,"2,852,427,183",42.606
202501,"3,946,520,911",26.084,"3,212,163,852",37.303,"734,357,059",-7.113,"2,477,806,793",59.974
202502,"3,900,857,426",31.899,"2,918,620,300",22.950,"982,237,126",68.298,"1,936,383,174",8.166
202503,"4,574,424,676",3.415,"3,414,414,456",-8.789,"1,160,010,220",70.599,"2,254,404,236",-26.410
202504,"4,192,133,060",19.582,"3,062,248,028",17.530,"1,129,885,032",25.520,"1,932,362,996",13.313
202505,"3,786,245,604",21.495,"2,733,652,137",17.624,"1,052,593,467",32.851,"1,681,058,670",9.747
202506,"4,167,279,785",11.886,"3,286,774,377",10.264,"880,505,408",18.390,"2,406,268,969",7.562
202507,"5,113,506,017",61.107,"3,881,589,727",70.172,"1,231,916,290",37.952,"2,649,673,437",90.902
202508,"4,521,191,830",24.402,"3,213,960,254",16.213,"1,307,231,576",50.473,"1,906,728,678",0.522
202509,"4,166,297,150",12.314,"3,220,582,208",12.247,"945,714,942",12.542,"2,274,867,266",12.125
202510,"4,959,785,362",35.248,"3,871,387,675",37.561,"1,088,397,687",27.615,"2,782,989,988",41.886
202511,"4,527,365,593",19.677,"3,158,825,066",8.546,"1,368,540,527",56.784,"1,790,284,539",-12.122
202512,"5,584,410,969",20.969,"4,430,307,637",18.634,"1,154,103,332",30.852,"3,276,204,305",14.857
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
