"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Sri Lanka,,,,,PRINT TIME:2026/02/08 12:52:22,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"464,606,685",0.386,"407,322,808",-0.252,"57,283,877",5.170,"350,038,931",-1.087
2017,"465,585,075",0.211,"407,704,851",0.094,"57,880,224",1.041,"349,824,627",-0.061
2018,"472,160,991",1.412,"405,290,162",-0.592,"66,870,829",15.533,"338,419,333",-3.260
2019,"432,010,435",-8.504,"374,041,797",-7.710,"57,968,638",-13.313,"316,073,159",-6.603
2020,"369,862,841",-14.386,"306,960,308",-17.934,"62,902,533",8.511,"244,057,775",-22.784
2021,"489,203,784",32.266,"401,409,580",30.769,"87,794,204",39.572,"313,615,376",28.500
2022,"411,364,870",-15.911,"339,896,334",-15.324,"71,468,536",-18.595,"268,427,798",-14.409
2023,"318,842,558",-22.492,"257,763,314",-24.164,"61,079,244",-14.537,"196,684,070",-26.727
2024,"397,604,350",24.702,"338,497,263",31.321,"59,107,087",-3.229,"279,390,176",42.050
2025,"375,153,339",-5.647,"311,863,205",-7.868,"63,290,134",7.077,"248,573,071",-11.030
***Expand by month***,,,,,,,,
202401,"28,587,850",21.955,"23,112,312",22.852,"5,475,538",18.311,"17,636,774",24.334
202402,"20,759,061",-14.107,"17,469,031",-10.109,"3,290,030",-30.516,"14,179,001",-3.535
202403,"38,699,880",30.926,"33,863,776",42.189,"4,836,104",-15.784,"29,027,672",60.609
202404,"23,684,935",0.062,"19,478,748",-1.018,"4,206,187",5.390,"15,272,561",-2.648
202405,"34,972,629",58.563,"30,456,387",79.041,"4,516,242",-10.484,"25,940,145",116.788
202406,"34,787,501",34.859,"30,029,220",45.945,"4,758,281",-8.840,"25,270,939",64.567
202407,"27,894,962",6.957,"22,566,520",12.896,"5,328,442",-12.530,"17,238,078",24.042
202408,"38,872,044",20.243,"33,584,227",21.455,"5,287,817",13.074,"28,296,410",23.161
202409,"36,924,083",20.483,"30,512,733",26.077,"6,411,350",-0.522,"24,101,383",35.731
202410,"49,973,356",116.756,"45,668,476",152.032,"4,304,880",-12.768,"41,363,596",213.714
202411,"31,519,818",15.218,"26,925,984",17.132,"4,593,834",5.146,"22,332,150",19.944
202412,"30,928,231",0.790,"24,829,849",-2.571,"6,098,382",17.263,"18,731,467",-7.656
202501,"31,241,808",9.284,"26,897,221",16.376,"4,344,587",-20.655,"22,552,634",27.873
202502,"17,620,636",-15.118,"13,444,085",-23.040,"4,176,551",26.946,"9,267,534",-34.639
202503,"42,619,584",10.128,"36,743,131",8.503,"5,876,453",21.512,"30,866,678",6.335
202504,"35,258,087",48.863,"30,245,741",55.276,"5,012,346",19.166,"25,233,395",65.220
202505,"29,729,688",-14.992,"25,594,962",-15.962,"4,134,726",-8.448,"21,460,236",-17.270
202506,"24,992,177",-28.158,"20,219,240",-32.668,"4,772,937",0.308,"15,446,303",-38.877
202507,"49,662,497",78.034,"45,111,381",99.904,"4,551,116",-14.588,"40,560,265",135.295
202508,"31,899,901",-17.936,"25,249,650",-24.817,"6,650,251",25.766,"18,599,399",-34.269
202509,"30,018,826",-18.701,"24,071,566",-21.110,"5,947,260",-7.239,"18,124,306",-24.800
202510,"28,200,846",-43.568,"22,537,027",-50.651,"5,663,819",31.567,"16,873,208",-59.208
202511,"28,966,379",-8.101,"22,390,801",-16.843,"6,575,578",43.139,"15,815,223",-29.182
202512,"24,942,910",-19.352,"19,358,400",-22.036,"5,584,510",-8.426,"13,773,890",-26.467
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
