"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Thailand,,,,,PRINT TIME:2026/02/08 13:03:54,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"9,308,862,319",-3.007,"5,490,583,071",-3.019,"3,818,279,248",-2.989,"1,672,303,823",-3.089
2017,"10,740,213,347",15.376,"6,382,004,050",16.235,"4,358,209,297",14.141,"2,023,794,753",21.018
2018,"10,750,392,013",0.095,"6,168,280,609",-3.349,"4,582,111,404",5.137,"1,586,169,205",-21.624
2019,"9,771,990,125",-9.101,"5,517,965,478",-10.543,"4,254,024,647",-7.160,"1,263,940,831",-20.315
2020,"9,833,817,955",0.633,"5,289,485,781",-4.141,"4,544,332,174",6.824,"745,153,607",-41.045
2021,"12,986,072,605",32.055,"7,024,108,526",32.794,"5,961,964,079",31.196,"1,062,144,447",42.540
2022,"13,841,747,921",6.589,"7,549,890,208",7.485,"6,291,857,713",5.533,"1,258,032,495",18.443
2023,"16,240,841,478",17.332,"10,858,848,071",43.828,"5,381,993,407",-14.461,"5,476,854,664",335.351
2024,"18,053,739,624",11.163,"11,819,925,314",8.851,"6,233,814,310",15.827,"5,586,111,004",1.995
2025,"19,372,734,526",7.306,"12,783,561,796",8.153,"6,589,172,730",5.700,"6,194,389,066",10.889
***Expand by month***,,,,,,,,
202401,"1,570,254,631",63.094,"1,088,065,856",95.694,"482,188,775",18.537,"605,877,081",306.029
202402,"1,624,696,127",60.961,"1,229,045,904",116.854,"395,650,223",-10.610,"833,395,681",571.267
202403,"2,415,737,760",120.158,"1,803,361,645",184.699,"612,376,115",32.021,"1,190,985,530",602.318
202404,"1,357,506,529",-0.255,"782,263,605",-15.293,"575,242,924",31.490,"207,020,681",-57.404
202405,"1,240,324,761",-15.996,"649,957,591",-34.130,"590,367,170",20.534,"59,590,421",-88.008
202406,"1,159,121,210",4.503,"629,837,289",-8.241,"529,283,921",25.193,"100,553,368",-61.858
202407,"1,286,883,040",-25.176,"755,644,330",-37.382,"531,238,710",3.529,"224,405,620",-67.647
202408,"1,313,167,862",0.409,"776,313,211",-10.859,"536,854,651",22.867,"239,458,560",-44.817
202409,"1,465,546,753",7.001,"945,583,712",0.697,"519,963,041",20.748,"425,620,671",-16.285
202410,"1,822,957,960",19.056,"1,325,980,451",27.154,"496,977,509",1.765,"829,002,942",49.515
202411,"1,364,731,587",-28.159,"898,948,820",-39.297,"465,782,767",11.229,"433,166,053",-59.217
202412,"1,432,811,404",2.596,"934,922,900",-3.183,"497,888,504",15.545,"437,034,396",-18.274
202501,"1,086,659,388",-30.797,"721,106,584",-33.726,"365,552,804",-24.189,"355,553,780",-41.316
202502,"1,312,619,566",-19.208,"732,012,381",-40.441,"580,607,185",46.748,"151,405,196",-81.833
202503,"1,779,851,384",-26.323,"1,124,829,933",-37.626,"655,021,451",6.964,"469,808,482",-60.553
202504,"1,613,549,143",18.861,"1,103,074,259",41.011,"510,474,884",-11.259,"592,599,375",186.251
202505,"2,701,003,147",117.766,"2,187,043,882",236.490,"513,959,265",-12.942,"1,673,084,617","2,707.640"
202506,"1,591,971,435",37.343,"980,769,117",55.718,"611,202,318",15.477,"369,566,799",267.533
202507,"1,550,119,893",20.455,"870,325,808",15.177,"679,794,085",27.964,"190,531,723",-15.095
202508,"1,538,992,239",17.197,"997,088,311",28.439,"541,903,928",0.941,"455,184,383",90.089
202509,"1,418,194,066",-3.231,"866,179,526",-8.397,"552,014,540",6.164,"314,164,986",-26.187
202510,"1,396,471,485",-23.395,"905,637,469",-31.701,"490,834,016",-1.236,"414,803,453",-49.964
202511,"1,733,009,315",26.985,"1,230,460,530",36.878,"502,548,785",7.893,"727,911,745",68.045
202512,"1,650,293,465",15.179,"1,065,033,996",13.917,"585,259,469",17.548,"479,774,527",9.780
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
