"From January 2016, the import and export trade statistics method shifts to general trade system. The special trade system was in use until 2015.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
REPORT_ID : FSC3030R,,,,,,,,
COUNTRY(REGION): Viet Nam,,,,,PRINT TIME:2026/02/08 13:01:34,,,
CCC_CODE: ALL-,,,,,UNIT:US($),,,
,,,,,,,,
TIME PERIOD :2016 - 2025 (re-imports & re-exports included),,,,,,,,
YEAR/MONTH,TOTAL TRADE,,EXPORT,,IMPORT,,SURPLUS/DEFICIT,
,AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%),AMOUNT,GROWTH RATE(%)
2016,"12,259,349,373",2.280,"9,512,222,386",0.425,"2,747,126,987",9.268,"6,765,095,399",-2.771
2017,"13,578,598,939",10.761,"10,457,897,460",9.942,"3,120,701,479",13.599,"7,337,195,981",8.457
2018,"14,469,876,186",6.564,"10,771,569,702",2.999,"3,698,306,484",18.509,"7,073,263,218",-3.597
2019,"16,054,587,793",10.952,"10,772,300,047",0.007,"5,282,287,746",42.830,"5,490,012,301",-22.384
2020,"16,019,541,667",-0.218,"10,521,979,498",-2.324,"5,497,562,169",4.075,"5,024,417,329",-8.481
2021,"20,114,676,829",25.563,"13,967,563,743",32.747,"6,147,113,086",11.815,"7,820,450,657",55.649
2022,"21,560,838,644",7.190,"14,574,833,376",4.348,"6,986,005,268",13.647,"7,588,828,108",-2.962
2023,"17,883,968,232",-17.053,"11,725,887,273",-19.547,"6,158,080,959",-11.851,"5,567,806,314",-26.632
2024,"22,212,703,148",24.205,"14,275,612,386",21.744,"7,937,090,762",28.889,"6,338,521,624",13.842
2025,"32,504,479,711",46.333,"18,168,204,674",27.267,"14,336,275,037",80.624,"3,831,929,637",-39.545
***Expand by month***,,,,,,,,
202401,"1,914,148,190",41.320,"1,269,999,922",49.754,"644,148,268",27.196,"625,851,654",83.191
202402,"1,234,673,288",-10.177,"868,779,896",-9.825,"365,893,392",-11.003,"502,886,504",-8.948
202403,"1,968,086,641",28.917,"1,215,695,149",25.238,"752,391,492",35.341,"463,303,657",11.698
202404,"1,855,995,117",33.384,"1,156,335,058",22.614,"699,660,059",56.034,"456,674,999",-7.680
202405,"1,776,368,167",30.156,"1,134,784,619",32.782,"641,583,548",25.757,"493,201,071",43.186
202406,"1,877,206,098",44.768,"1,169,307,934",44.902,"707,898,164",44.547,"461,409,770",45.450
202407,"1,848,917,535",16.330,"1,148,596,167",11.665,"700,321,368",24.886,"448,274,799",-4.182
202408,"2,019,279,086",31.741,"1,321,342,956",30.101,"697,936,130",34.962,"623,406,826",25.057
202409,"1,907,551,187",19.825,"1,241,565,500",12.857,"665,985,687",35.410,"575,579,813",-5.378
202410,"1,834,450,587",9.932,"1,186,630,104",7.548,"647,820,483",14.585,"538,809,621",0.152
202411,"1,996,387,172",21.551,"1,320,306,754",25.498,"676,080,418",14.516,"644,226,336",39.542
202412,"1,979,640,080",27.712,"1,242,268,327",19.534,"737,371,753",44.350,"504,896,574",-4.455
202501,"1,935,126,985",1.096,"1,213,419,889",-4.455,"721,707,096",12.041,"491,712,793",-21.433
202502,"2,098,659,158",69.977,"1,318,413,748",51.755,"780,245,410",113.244,"538,168,338",7.016
202503,"2,637,710,597",34.024,"1,483,472,851",22.027,"1,154,237,746",53.409,"329,235,105",-28.938
202504,"2,392,693,906",28.917,"1,361,623,960",17.753,"1,031,069,946",47.367,"330,554,014",-27.617
202505,"2,508,803,148",41.232,"1,539,643,726",35.677,"969,159,422",51.057,"570,484,304",15.670
202506,"2,353,838,687",25.391,"1,342,890,943",14.845,"1,010,947,744",42.810,"331,943,199",-28.059
202507,"3,256,001,262",76.103,"1,695,082,999",47.579,"1,560,918,263",122.886,"134,164,736",-70.071
202508,"3,138,925,871",55.448,"1,696,717,908",28.409,"1,442,207,963",106.639,"254,509,945",-59.174
202509,"2,702,985,717",41.699,"1,627,939,312",31.120,"1,075,046,405",61.422,"552,892,907",-3.942
202510,"2,704,028,114",47.403,"1,537,161,792",29.540,"1,166,866,322",80.122,"370,295,470",-31.275
202511,"3,141,028,256",57.336,"1,568,124,733",18.770,"1,572,903,523",132.650,"-4,778,790",---
202512,"3,634,678,010",83.603,"1,783,712,813",43.585,"1,850,965,197",151.022,"-67,252,384",---
"Source: Customs Administration, Ministry of Finance, R.O.C.",,,,,,,,
Remarks: --- means no data is available or data cannot be represented numerically.,,,,,,,,
